SEX,AGE,Height
F,3.64830805714,42.7233730841
F,6.70721411411,42.6923339562
F,6.6911979241,48.5981281337
F,8.71007592171,48.5776423092
F,5.72817794111,50.6779152466
F,9.73501896491,54.5946393357
F,7.73150533563,56.6241016759
F,10.7902251578,64.5687113175
F,12.8095687424,64.6091035693
F,14.8130823716,62.5796412291
F,19.6613320752,72.5152246922
F,17.673369049,68.5780147788
F,18.7129315215,68.506583399
F,20.7318095191,68.4860975746
F,19.6768826783,66.5485524385
F,19.7226964311,64.5389551402
F,22.6746106141,66.5181340932
F,21.7715582263,60.4390174254
F,22.7662381198,62.4989394965
F,23.745088058,62.4890069755
F,24.6930230248,66.4367701925
F,25.6569741817,64.478739232
F,26.7581803622,64.467565146
F,26.7274516255,60.4496121144
F,27.7216659321,62.4486561092
F,28.7009814572,62.4996016645
F,29.7410095166,62.489048361
F,30.7652076207,60.4086404655
F,27.6912165476,66.4672299234
F,32.7534499991,72.3823772247
F,30.7038432648,68.3849100176
F,31.7438713242,68.3743567141
F,32.8450775047,68.363182628
F,32.6466443599,66.4169465361
F,33.7478505404,66.4057724501
F,32.6924581127,64.4073492378
F,33.7936642932,64.3961751517
F,34.8336923526,64.3856218482
F,34.8187935712,62.4375234087
F,36.8376715688,62.4170375842
F,37.8314202884,64.3552035029
F,38.8107358136,64.4061490582
F,36.7455784762,66.3753541047
F,37.8467846567,66.3641800187
F,35.7820929063,68.3942631414
F,39.8203144884,68.4141695688
F,40.8445125926,66.3337616733
F,41.8233625308,66.3238291524
F,41.9308199917,64.3744891477
F,40.8137838559,62.3158086417
F,42.9554836827,62.3549593284
F,44.852471025,62.3965931453
F,45.8308553763,62.3257825481
F,47.8497333739,62.3052967237
F,47.8955471267,60.2956994254
F,43.8422405284,66.3033433279
F,44.8827341747,66.3536681007
F,42.8175768374,68.3228731472
F,45.8764828943,68.2918340193
F,46.8548672456,68.2210234221
F,48.8444132674,64.3652187948
F,49.8232632056,64.3552862739
F,50.862825678,64.2838548941
F,53.7844767113,62.3059588918
F,52.7897968179,60.2460368207
F,48.813498296,68.3229145327
F,50.8935544147,68.3018079257
F,49.7769838659,66.304005496
F,51.8570399846,66.282898889
F,52.8358899228,66.2729663681
F,53.8759179822,66.2624130646
F,54.7935897993,66.2531013262
F,55.7117272033,66.3046676641
F,55.7570753692,64.2341922895
F,56.8587471366,64.2838962797
F,58.7857182765,60.2460782062
F,60.7587825212,62.2351896801
F,61.7992761675,62.2855144529
F,62.83883864,62.2140830731
F,63.8023242099,60.1951740364
F,64.7811741481,60.1852415155
F,65.8212022075,60.174688212
F,70.899451849,60.1840413358
F,78.8377088157,58.1552411637
F,77.8125795378,60.1138929067
F,79.8319231223,60.1542851585
F,82.7680073501,60.0636095195
F,85.827378994,60.0934484678
F,61.707183075,66.2438309733
F,57.730139614,66.2233037634
F,64.766089132,66.2127918454
F,65.6991253174,68.2124566228
F,67.7633514809,66.1214954238
F,63.7718748254,64.2137478505
F,58.8164470131,64.2640312378
F,59.7341188302,64.2547194994
F,60.7741468896,64.2441661959
F,66.8312464693,64.2435867989
F,67.8100964075,64.2336542779
F,68.7889463458,64.223721757
F,66.7547039798,62.2352310656
F,72.8113379726,62.1737735923
F,74.8460459255,64.2231423599
F,70.8227231248,66.1513343721
F,71.8627511841,66.1407810686
F,75.778616524,66.1619290611
F,79.8163725192,66.1209574122
F,77.8279439061,62.1228694225
F,86.8215933005,62.0924924627
F,71.7557593102,68.1509991495
F,72.7953217826,68.0795677698
F,73.7741717209,68.0696352489
M,4.74951423765,42.7121989981
M,9.75010398108,48.5670890057
M,8.78708399809,50.6468761187
M,9.76593393632,50.6369435978
M,9.65801088853,52.5254055262
M,6.73682544215,54.5641796048
M,10.7441320529,58.5417817701
M,11.7841601122,58.5312284666
M,12.7783744188,60.5302724615
M,13.7114106042,62.5299372389
M,15.6689242459,70.4857209665
M,20.6550807948,74.4533906109
M,17.6429196645,72.5965885929
M,18.6666521817,70.4553026212
M,19.6917814597,68.4966508781
M,21.7718375785,68.4755442711
M,21.7411088418,64.4575912395
M,22.70394259,70.3534528961
M,23.7444362363,70.4037776688
M,22.6585944241,72.4239282706
M,23.6374443624,72.4139957497
M,24.6162943006,72.4040632288
M,27.6752003576,72.3730241008
M,28.6540502958,72.3630915799
M,29.632900234,72.353159059
M,30.5505720511,72.3438473206
M,31.6517782316,72.3326732345
M,26.680986051,70.373980106
M,27.2932328493,70.4286503566
M,27.6444716209,68.3550710693
M,25.6718729631,66.4268376716
M,30.7496570176,66.3753127192
M,31.6673288347,66.3660009808
M,28.7615077567,70.4137515752
M,32.7380856307,70.3734007089
M,33.7939436454,72.4327019975
M,35.7516435218,72.4128369556
M,34.7265142439,74.3714886987
M,29.6645601445,76.492868243
M,55.7876178711,76.2277940906
M,62.7007455599,76.1576456615
M,36.7458578284,74.4118809505
M,38.8259139471,74.3907743435
M,39.7435857642,74.3814626051
M,44.7601916977,74.3305584353
M,49.777263218,74.3405323417
M,60.6665031939,74.1691549701
M,61.6453531322,74.1592224492
M,40.8284964026,72.2395558508
M,42.7250181579,72.2203115915
M,45.7232116806,72.2507713223
M,46.7637053269,72.3010960951
M,47.7420896782,72.2302854979
M,48.7209396165,72.220352977
M,53.7380111368,72.2303268834
M,55.6961766002,72.2713399178
M,56.6745609515,72.2005293206
M,66.6470602842,72.1602198398
M,70.6852818663,72.1801262672
M,78.6996157356,72.098803752
M,80.7796718543,72.077697145
M,38.7951852105,70.3728213119
M,40.8135976212,70.2914574112
M,41.7924475594,70.2815248903
M,42.7717630845,70.3324704456
M,43.8117911439,70.3219171421
M,50.7249188327,70.251768713
M,51.7649468921,70.2412154095
M,53.7838248897,70.220729585
M,54.7010311198,70.1505397704
M,57.6996902295,70.2418775775
M,59.7802119352,70.2816490468
M,60.7590618734,70.2717165259
M,64.6123523313,70.1108510722
M,65.8354491672,70.0375573448
M,68.7126832085,70.2518928695
M,69.6906019728,70.1202041961
M,70.7306300322,70.1096508926
M,72.7490424429,70.0282869919
M,74.7688516143,70.12955732
M,76.7877296119,70.1090714955
M,77.8894013794,70.1587754857
M,33.7632149087,68.4147489659
M,34.7420648469,68.4048164449
M,52.79007617,68.2825636664
M,53.7684605213,68.2117530693
M,54.7477760465,68.2626986246
M,57.6847914481,68.293779138
M,58.7855320417,68.2217269757
M,63.6186036117,68.1726851536
M,66.7386877898,68.1410252431
M,67.7175377281,68.1310927222
M,69.7364157257,68.1106068977
M,70.776909372,68.1609316705
M,75.7930497185,68.0491494244
M,45.6775841626,66.2847198512
M,62.6855674263,66.1730203762
M,81.7891574118,60.0735420404
M,83.7780516119,64.1325081064
M,94.6519272195,61.9521542189
M,4.70370048483,44.7217962964
F,6.13873248617,48.3602028717
F,8.06644856506,52.4197897203
F,9.07602723994,56.4278102309
F,10.0548771782,56.41787771
F,11.1247028004,60.3035212856
F,13.1903257246,58.3951943153
