META,PMID,AUTHOR,YEAR,AgeR,AgeC,SexR,SexC,HanR,HanC,PreR,PreC,CNSR,CNSC,NeuR,NeuC,MedR,MedC,RepR,RepC,EleR,EleC,TarR,TarC,PriR,PriC,NonR,NonC,CoiR,CoiC,OriR,OriC,CurR,CurC,LocR,LocC,StiR,StiC,IntR,IntC,PulR,PulC,HotR,HotC,MEPR,MEPC,DayR,DayC,AttR,AttC,ThrR,ThrC,NumR,NumC,TesR,TesC,ConR,ConC,ISIR,ISIC,MeaR,MeaC,UncR,UncC,TOT,NUMR,NUMC,SUMR,SUMC,PERCR,PERCC,R1R,R1C,R2R,R2C,PERCAG,PERCCH,AC1,AC95U,AC95L,KAPPA,KAPU,KAPL
SNOW 2019,26003229,Bridoux ,2015,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,70.8,24,0,17,0,70.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,20702503,Codecà ,2010,1,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,70.4,27,0,19,0,70.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,26672995,Conte ,2016,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,29.2,24,0,7,0,29.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,18854915,Cucurachi ,2008,1,NAN,1,NAN,0,NAN,NAN,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,70.4,27,0,19,0,70.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,9398981,Facchetti ,1997,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,20.8,24,0,5,0,20.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,22705226,Firmin ,2012,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,16.7,24,0,4,0,16.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,10378743,Ho ,1999,1,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,66.7,27,0,18,0,66.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,27974394,Hulst ,2017,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,41.7,24,0,10,0,41.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,2837538,Ingram ,1988,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,41.7,24,0,10,0,41.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,19825276,Kale ,2010,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,54.2,24,0,13,0,54.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,17080438,Lenzi ,2007,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,1,NAN,70.8,24,0,17,0,70.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,15957514,Liepert ,2005,1,NAN,1,NAN,0,NAN,NAN,NAN,1,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,55.6,27,0,15,0,55.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,22606347,Llufriu ,2012,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,0,NAN,0,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1,NAN,0,NAN,33.3,24,0,8,0,33.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,20859746,Morgante ,2011,1,NAN,1,NAN,0,NAN,NAN,NAN,1,NAN,0,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,81.5,27,0,22,0,81.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,26394909,Nantes ,2016,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,74.1,27,0,20,0,74.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,27053387,Nantes ,2016,1,NAN,1,NAN,1,NAN,NAN,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,74.1,27,0,20,0,74.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
SNOW 2019,26467603,Neva ,2016,1,NAN,1,NAN,0,NAN,NAN,NAN,0,NAN,0,NAN,0,NAN,0,NAN,1,NAN,0,NAN,1,NAN,0,NAN,1,NAN,0,NAN,0,NAN,1,NAN,1,NAN,1,NAN,0,NAN,1,NAN,1,NAN,NAN,NAN,0,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,1,NAN,59.3,27,0,16,0,59.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
