META,PMID,CITATION,YEAR,TOTAL,R,C
BEAULIEU 2024,22777103,Barker,2012,50.0,NaN,NaN
BEAULIEU 2024,17172550,Boake,2007,58.3,NaN,NaN
BEAULIEU 2024,24803495,Fleming,2015,60.7,NaN,NaN
BEAULIEU 2024,20834043,Marconi,2011,82.1,NaN,NaN
BEAULIEU 2024,17405883,McDonnell,2007,41.7,NaN,NaN
BEAULIEU 2024,15965585,Platz,2005,41.7,NaN,NaN
BEAULIEU 2024,16517515,Ro,2006,45.8,NaN,NaN
BEAULIEU 2024,18780885,Sawaki,2008,54.2,NaN,NaN
BEAULIEU 2024,23963340,Singer,2013,66.7,NaN,NaN
BEAULIEU 2024,18356189,Stinear,2008,42.9,NaN,NaN
BEAULIEU 2024,24178916,Stinear,2014,50.0,NaN,NaN
BEAULIEU 2024,17134723,Summers,2007,58.3,NaN,NaN
BEAULIEU 2024,19713619,Tarkka,2011,58.3,NaN,NaN
BEAULIEU 2024,12645445,Wittenberg,2003,42.9,NaN,NaN
DESMONS 2023,NaN,Behrendt 2016,2016,60.0,NaN,NaN
DESMONS 2023,28463574,Burns 2017,2017,68.6,NaN,NaN
DESMONS 2023,12131743,Cariga 2002,2002,34.3,NaN,NaN
DESMONS 2023,26807583,Chiou 2016,2016,71.4,NaN,NaN
DESMONS 2023,29368403,Chiou 2018,2018,65.8,NaN,NaN
DESMONS 2023,29847230,Chiou 2018,2018,70.7,NaN,NaN
DESMONS 2023,33051482,Chiou 2020,2020,61.7,NaN,NaN
DESMONS 2023,NaN,Clark 2011,2011,45.7,NaN,NaN
DESMONS 2023,12065986,Davey 2002,2002,60.0,NaN,NaN
DESMONS 2023,NaN,Davey 2004,2004,40.0,NaN,NaN
DESMONS 2023,34550037,Desmons 2021,2021,87.8,NaN,NaN
DESMONS 2023,18486746,Dishman 2008,2008,40.0,NaN,NaN
DESMONS 2023,31232503,Elgueta-Cancino 2019,2019,56.1,NaN,NaN
DESMONS 2023,9589540,Ertekin 1998,1998,31.4,NaN,NaN
DESMONS 2023,1282456,Ferbert 1992,1992,31.4,NaN,NaN
DESMONS 2023,11766953,Fujiwara 2001,2001,45.7,NaN,NaN
DESMONS 2023,19545609,Fujiwara 2009,2009,45.7,NaN,NaN
DESMONS 2023,12481934,Fulton 2002,2002,40.0,NaN,NaN
DESMONS 2023,20969893,Goss 2011,2011,51.2,NaN,NaN
DESMONS 2023,NaN,Hashimoto 2000,2000,32.4,NaN,NaN
DESMONS 2023,25337349,Jaberzadeh 2013,2013,65.7,NaN,NaN
DESMONS 2023,28615339,Jean-Charles 2017,2017,90.2,NaN,NaN
DESMONS 2023,33905333,Jiang et al 2021,2021,57.1,NaN,NaN
DESMONS 2023,17644335,Kuppuswamy 2008,2008,51.4,NaN,NaN
DESMONS 2023,28478241,Lehner 2017,2017,77.1,NaN,NaN
DESMONS 2023,33679969,Li et al 2021,2021,76.3,NaN,NaN
DESMONS 2023,26708518,Massé-Alarie 2016,2016,73.2,NaN,NaN
DESMONS 2023,27509086,Massé-Alarie 2016,2016,70.7,NaN,NaN
DESMONS 2023,27847987,Massé-Alarie 2018,2018,96.8,NaN,NaN
DESMONS 2023,35478204,Massé-Alarie 2022,2022,90.2,NaN,NaN
DESMONS 2023,11438765,Nowicky 2001,2001,51.4,NaN,NaN
DESMONS 2023,17890149,O'Connell 2007,2007,60.0,NaN,NaN
DESMONS 2023,NaN,Rowland 2021,2021,59.4,NaN,NaN
DESMONS 2023,33075460,Sasaki 2020,2020,62.2,NaN,NaN
DESMONS 2023,NaN,Sasaki 2021,2021,80.0,NaN,NaN
DESMONS 2023,25893342,Schabrun 2018,2018,66.7,NaN,NaN
DESMONS 2023,35501123,Shraim 2022,2022,92.7,NaN,NaN
DESMONS 2023,10607143,Stalder 1995,1995,40.0,NaN,NaN
DESMONS 2023,16189454,Strutton 2005,2005,45.7,NaN,NaN
DESMONS 2023,9926386,Taniguchi 1999,1999,34.3,NaN,NaN
DESMONS 2023,21508892,Tsao 2011,2011,68.6,NaN,NaN
DESMONS 2023,21377923,Tsao 2011,2011,57.1,NaN,NaN
DESMONS 2023,21333720,Tsao 2011,2011,60.0,NaN,NaN
DESMONS 2023,7935559,Urban 1994,1994,22.8,NaN,NaN
KANIG 2023,17011821,Fratello et al. 2006,2006,51.9,NaN,NaN
KANIG 2023,17487476,Sale et al. 2007,2007,55.8,NaN,NaN
KANIG 2023,34707206,Boucher et al. 2021,2021,42.3,NaN,NaN
KANIG 2023,23932365,Vernet et al. 2014,2014,48.1,NaN,NaN
KANIG 2023,31156361,Jannati et al. 2019,2019,48.1,NaN,NaN
KANIG 2023,24507574,Hinder et al. 2014,2014,44.3,NaN,NaN
KANIG 2023,30022548,Perellón-Alfonso et al. 2018,2018,53.9,NaN,NaN
KANIG 2023,28129054,Schilberg et al. 2017,2017,55.8,NaN,NaN
KANIG 2023,26208843,Vallence et al. 2015,2015,44.3,NaN,NaN
KANIG 2023,14527615,Bäumer et al. 2003,2003,48.1,NaN,NaN
KANIG 2023,20541968,Cohen et al. 2010,2010,39.4,NaN,NaN
KANIG 2023,35463922,Maeda et al. 2000,2000,39.4,NaN,NaN
KANIG 2023,11856631,Sommer et al. 2002,2002,35.6,NaN,NaN
KANIG 2023,14652102,Modugno et al. 2003,2003,30.8,NaN,NaN
KANIG 2023,37586677,Prei et al. 2023,2023,51.0,NaN,NaN
OSNAEBRUGGE 2023,28377705,[1] Bashir et al. (2017),2017,50.0,NaN,NaN
OSNAEBRUGGE 2023,23077645,[2] Bastani & Jaberzadeh (2012),2012,50.0,NaN,NaN
OSNAEBRUGGE 2023,29551425,[3] Biabani et al. (2018),2018,50.0,NaN,NaN
OSNAEBRUGGE 2023,28807846,[4] Brown et al. (2017),2017,52.0,NaN,NaN
OSNAEBRUGGE 2023,11716954,[5] Carroll et al. (2001),2001,46.0,NaN,NaN
OSNAEBRUGGE 2023,27156431,[6] Chang et al. (2016),2016,50.0,NaN,NaN
OSNAEBRUGGE 2023,17588673,[7] Christie et al. (2007),2007,39.6,NaN,NaN
OSNAEBRUGGE 2023,26924308,[8] Cueva et al. (2016),2016,29.2,NaN,NaN
OSNAEBRUGGE 2023,24475111,[9] Cuypers et al. (2014),2014,47.9,NaN,NaN
OSNAEBRUGGE 2023,30300705,[10] Davila-Pérez et al. (2018),2018,60.0,NaN,NaN
OSNAEBRUGGE 2023,30145195,[11] Dyke et al. (2018),2018,32.0,NaN,NaN
OSNAEBRUGGE 2023,22695363,[12] Fleming et al. (2012),2012,50.0,NaN,NaN
OSNAEBRUGGE 2023,26872998,[13] Goldsworthy et al. (2016),2016,46.0,NaN,NaN
OSNAEBRUGGE 2023,28446949,[14] Hashemirad et al. (2017),2017,36.0,NaN,NaN
OSNAEBRUGGE 2023,31744309,[15] Hassanzahraee et al. (2019),2019,54.0,NaN,NaN
OSNAEBRUGGE 2023,18976714,[16] Julkunen et al. (2009),2009,36.0,NaN,NaN
OSNAEBRUGGE 2023,20633437,[17] Jung et al. (2010),2010,52.0,NaN,NaN
OSNAEBRUGGE 2023,15354040,[18] Kamen (2004),2004,37.5,NaN,NaN
OSNAEBRUGGE 2023,24887609,[19] Kukke et al. (2014),2014,60.9,NaN,NaN
OSNAEBRUGGE 2023,24792099,[20] Liu & Au-Yeung (2014),2014,34.0,NaN,NaN
OSNAEBRUGGE 2023,16564206,[21] Malcolm et al. (2006),2006,64.0,NaN,NaN
OSNAEBRUGGE 2023,15126046,[22] McDonnell et al. (2004),2004,40.0,NaN,NaN
OSNAEBRUGGE 2023,22227444,[23] Ngomo et al. (2012),2012,36.0,NaN,NaN
OSNAEBRUGGE 2023,31265402,[24] Nguyen et al. (2019),2019,38.0,NaN,NaN
OSNAEBRUGGE 2023,30194017,[25] Pellegrini et al. (2018b),2018,46.0,NaN,NaN
OSNAEBRUGGE 2023,26388729,[26] Schambra et al. (2015),2015,74.0,NaN,NaN
OSNAEBRUGGE 2023,35987284,[27] Therrien-Blanchet et al. (2022),2022,54.0,NaN,NaN
OSNAEBRUGGE 2023,27504156,[28] Vaseghi et al. (2015),2015,44.0,NaN,NaN
SIVARAMAKRISHNAN 2023,30013489,Abraha et al,2018,83.7,NaN,NaN
SIVARAMAKRISHNAN 2023,30571289,Boyne et al,2018,65.8,NaN,NaN
SIVARAMAKRISHNAN 2023,16442977,Forrester et al,2006,60.9,NaN,NaN
SIVARAMAKRISHNAN 2023,31144609,Li et al,2019,75.5,NaN,NaN
SIVARAMAKRISHNAN 2023,27738524,Madhavan et al,2016,75.6,NaN,NaN
SIVARAMAKRISHNAN 2023,27018862,Murdoch et al,2016,71.4,NaN,NaN
SIVARAMAKRISHNAN 2023,28691645,Nepveu et al,2017,63.2,NaN,NaN
SIVARAMAKRISHNAN 2023,33095999,Sivaramakrishnan and Madhavan,2021,75.5,NaN,NaN
SCOTT 2020,11309450,Christyakov,2001,23.0,NaN,NaN
SCOTT 2020,27531393,Davidson,2016,21.0,NaN,NaN
SCOTT 2020,21669091,De Beaumont,2011,17.0,NaN,NaN
SCOTT 2020,21572090,De Beaumont,2012,18.0,NaN,NaN
SCOTT 2020,31551732,Di Virgilio,2019,18.0,NaN,NaN
SCOTT 2020,28657363,Edwards,2017,15.0,NaN,NaN
SCOTT 2020,20433286,Livingston,2010,17.0,NaN,NaN
SCOTT 2020,24841536,Miller,2014,22.0,NaN,NaN
SCOTT 2020,25104044,Pearce,2015,24.0,NaN,NaN
SCOTT 2020,31004695,Pearce,2019,22.0,NaN,NaN
SCOTT 2020,31809669,Pearce,2020,19.0,NaN,NaN
SCOTT 2020,24702432,Powers,2014,22.0,NaN,NaN
SCOTT 2020,32073936,Stokes,2020,20.0,NaN,NaN
SCOTT 2020,21219259,Tremblay,2011,23.0,NaN,NaN
SCOTT 2020,28509819,Yasen,2017,23.0,NaN,NaN
DILENA 2019,22402187,Aoyama,2012,30.8,NaN,NaN
DILENA 2019,17935897,Kaneko E1,2007,50.0,NaN,NaN
DILENA 2019,17935897,Kaneko E2,2007,50.0,NaN,NaN
DILENA 2019,25892447,Nojima E1,2015,53.3,NaN,NaN
DILENA 2019,25892447,Nojima E3,2015,53.3,NaN,NaN
DILENA 2019,27588516,Mancheva,2017,46.2,NaN,NaN
DILENA 2019,12467600,Naito,2002,61.5,NaN,NaN
DILENA 2019,27760692,della Gatta,2016,57.7,NaN,NaN
DILENA 2019,16979561,Schutz-Bosbach,2006,50.0,NaN,NaN
DILENA 2019,18702585,Schutz-Bosbach,2009,66.7,NaN,NaN
DILENA 2019,24096174,Weiss,2014,80.8,NaN,NaN
DILENA 2019,28186673,Karabanov,2017,73.1,NaN,NaN
DILENA 2019,27148005,Kilteni,2016,73.1,NaN,NaN
CHANG 2018,10825705,Salerno et al75,2000,40.4,41.4,39.3
CHANG 2018,12939426,Schwenkreis et al81,2003,63.7,64.3,63
CHANG 2018,14642431,Strutton et al91,2003,40.9,40,41.7
CHANG 2018,15375272,On et al63,2004,52.9,53.8,52
CHANG 2018,15621369,Eisenberg et al21,2005,71.9,72.4,71.4
CHANG 2018,15949240,Krause et al43,2005,54.8,61.5,48
CHANG 2018,16189454,Strutton et al92,2005,48.9,52,45.8
CHANG 2018,16326140,Krause et al44,2006,44.8,52,37.5
CHANG 2018,17011705,Turton et al99,2007,45.1,46.2,44
CHANG 2018,18669505,Tsao et al97,2008,74.6,73.1,76
CHANG 2018,19690944,Berth et al5,2009,72.5,77,68
CHANG 2018,19922582,Turgut et al98,2009,66.6,69.2,64
CHANG 2018,20356675,Mhalla et al57,2010,54.4,55.2,53.6
CHANG 2018,20540759,Schwenkreis et al82,2010,65.5,64.3,66.7
CHANG 2018,21781310,Clark et al15,2011,53.2,54.2,52.2
CHANG 2018,21305574,Schwenkreis et al83,2011,60.0,64.3,55.6
CHANG 2018,21508892,Tsao et al96,2011,80.9,79.2,82.6
CHANG 2018,22311467,Masse-Alarie et al54,2012,70.2,69,71.4
